😀 e1-0-grinning-face
✌🏻 e1-0-victory-hand-light-skin-tone
✌🏼 e1-0-victory-hand-medium-light-skin-tone
✌🏽 e1-0-victory-hand-medium-skin-tone
✌🏾 e1-0-victory-hand-medium-dark-skin-tone
✌🏿 e1-0-victory-hand-dark-skin-tone
🤞 e3-0-crossed-fingers
🫰 e14-0-hand-with-index-finger-and-thumb-crossed
🤟 e5-0-love-you-gesture
🤘 e1-0-sign-of-the-horns
🤙 e3-0-call-me-hand
👈 e0-6-backhand-index-pointing-left
👉 e0-6-backhand-index-pointing-right
👆 e0-6-backhand-index-pointing-up
🖕 e1-0-middle-finger
👇 e0-6-backhand-index-pointing-down
☝️ e0-6-index-pointing-up
☝🏻 e1-0-index-pointing-up-light-skin-tone
☝🏼 e1-0-index-pointing-up-medium-light-skin-tone
☝🏽 e1-0-index-pointing-up-medium-skin-tone
☝🏾 e1-0-index-pointing-up-medium-dark-skin-tone
☝🏿 e1-0-index-pointing-up-dark-skin-tone
🫵 e14-0-index-pointing-at-the-viewer
👍 e0-6-thumbs-up
👎 e0-6-thumbs-down
✊ e0-6-raised-fist
👊 e0-6-oncoming-fist
🤛 e3-0-left-facing-fist
🤜 e3-0-right-facing-fist
👏 e0-6-clapping-hands
🙌 e0-6-raising-hands
🫶 e14-0-heart-hands
👐 e0-6-open-hands
🤲 e5-0-palms-up-together
🤝 e3-0-handshake
🫱🏻‍🫲🏼 e14-0-handshake-light-skin-tone-medium-light-skin-tone
🙏 e0-6-folded-hands
✍️ e0-7-writing-hand
✍🏻 e1-0-writing-hand-light-skin-tone
✍🏼 e1-0-writing-hand-medium-light-skin-tone
✍🏽 e1-0-writing-hand-medium-skin-tone
✍🏾 e1-0-writing-hand-medium-dark-skin-tone
✍🏿 e1-0-writing-hand-dark-skin-tone
💅 e0-6-nail-polish
🤳 e3-0-selfie
💪 e0-6-flexed-biceps
🦾 e12-0-mechanical-arm
🦿 e12-0-mechanical-leg
🦵 e11-0-leg
🦶 e11-0-foot
👂 e0-6-ear
🦻 e12-0-ear-with-hearing-aid
👃 e0-6-nose
🧠 e5-0-brain
🫀 e13-0-anatomical-heart
🫁 e13-0-lungs
🦷 e11-0-tooth
🦴 e11-0-bone
👀 e0-6-eyes
👁️ e0-7-eye
👅 e0-6-tongue
👄 e0-6-mouth
🫦 e14-0-biting-lip
👶 e0-6-baby
🧒 e5-0-child
👦 e0-6-boy
👧 e0-6-girl
🧑 e5-0-person
👱 e0-6-person-blond-hair
👨 e0-6-man
🧔 e5-0-person-beard
👨‍🦰 e11-0-man-red-hair
👩 e0-6-woman
🧑‍🦰 e12-1-person-red-hair
👩‍🦱 e11-0-woman-curly-hair
🧑‍🦱 e12-1-person-curly-hair
👩‍🦳 e11-0-woman-white-hair
🧑‍🦳 e12-1-person-white-hair
👩‍🦲 e11-0-woman-bald
🧑‍🦲 e12-1-person-bald
👱‍♀️ e4-0-woman-blond-hair
🧓 e5-0-older-person
👴 e0-6-old-man
👵 e0-6-old-woman
🙍 e0-6-person-frowning
🙎 e0-6-person-pouting
🙅 e0-6-person-gesturing-no
🙆 e0-6-person-gesturing-ok
💁 e0-6-person-tipping-hand
🙋 e0-6-person-raising-hand
🧏 e12-0-deaf-person
🙇 e0-6-person-bowing
🤦 e3-0-person-facepalming
🤷 e3-0-person-shrugging
🧑‍⚕️ e12-1-health-worker
👨‍⚕️ e4-0-man-health-worker
👩‍⚕️ e4-0-woman-health-worker
🧑‍🎓 e12-1-student
👨‍🎓 e4-0-man-student
👩‍🎓 e4-0-woman-student
🧑‍🏫 e12-1-teacher
👨‍🏫 e4-0-man-teacher
👩‍🏫 e4-0-woman-teacher
🧑‍⚖️ e12-1-judge
👨‍⚖️ e4-0-man-judge
👩‍⚖️ e4-0-woman-judge
🧑‍🌾 e12-1-farmer
👨‍🌾 e4-0-man-farmer
👩‍🌾 e4-0-woman-farmer
🧑‍🍳 e12-1-cook
👨‍🍳 e4-0-man-cook
👩‍🍳 e4-0-woman-cook
🧑‍🔧 e12-1-mechanic
👨‍🔧 e4-0-man-mechanic
👩‍🔧 e4-0-woman-mechanic
🧑‍🏭 e12-1-factory-worker
👨‍🏭 e4-0-man-factory-worker
👩‍🏭 e4-0-woman-factory-worker
🧑‍💼 e12-1-office-worker
👨‍💼 e4-0-man-office-worker
👩‍💼 e4-0-woman-office-worker
🧑‍🔬 e12-1-scientist
👨‍🔬 e4-0-man-scientist
👩‍🔬 e4-0-woman-scientist
🧑‍💻 e12-1-technologist
👨‍💻 e4-0-man-technologist
👩‍💻 e4-0-woman-technologist
🧑‍🎤 e12-1-singer
👨‍🎤 e4-0-man-singer
👩‍🎤 e4-0-woman-singer
🧑‍🎨 e12-1-artist
👨‍🎨 e4-0-man-artist
👩‍🎨 e4-0-woman-artist
🧑‍✈️ e12-1-pilot
👨‍✈️ e4-0-man-pilot
👩‍✈️ e4-0-woman-pilot
🧑‍🚀 e12-1-astronaut
👨‍🚀 e4-0-man-astronaut
👩‍🚀 e4-0-woman-astronaut
🧑‍🚒 e12-1-firefighter
👨‍🚒 e4-0-man-firefighter
👩‍🚒 e4-0-woman-firefighter
👮 e0-6-police-officer
🕵️ e0-7-detective
🕵🏻 e2-0-detective-light-skin-tone
🕵🏼 e2-0-detective-medium-light-skin-tone
🕵🏽 e2-0-detective-medium-skin-tone
🕵🏾 e2-0-detective-medium-dark-skin-tone
🕵🏿 e2-0-detective-dark-skin-tone
🕵️‍♂️ e4-0-man-detective
🕵🏻‍♂️ e4-0-man-detective-light-skin-tone
🕵🏼‍♂️ e4-0-man-detective-medium-light-skin-tone
🕵🏽‍♂️ e4-0-man-detective-medium-skin-tone
🕵🏾‍♂️ e4-0-man-detective-medium-dark-skin-tone
🕵🏿‍♂️ e4-0-man-detective-dark-skin-tone
🕵️‍♀️ e4-0-woman-detective
🕵🏻‍♀️ e4-0-woman-detective-light-skin-tone
🕵🏼‍♀️ e4-0-woman-detective-medium-light-skin-tone
🕵🏽‍♀️ e4-0-woman-detective-medium-skin-tone
🕵🏾‍♀️ e4-0-woman-detective-medium-dark-skin-tone
🕵🏿‍♀️ e4-0-woman-detective-dark-skin-tone
💂 e0-6-guard
🥷 e13-0-ninja
👷 e0-6-construction-worker
🫅 e14-0-person-with-crown
🤴 e3-0-prince
👸 e0-6-princess
👳 e0-6-person-wearing-turban
👲 e0-6-person-with-skullcap
🧕 e5-0-woman-with-headscarf
🤵 e3-0-person-in-tuxedo
👰 e0-6-person-with-veil
🤰 e3-0-pregnant-woman
🫃 e14-0-pregnant-man
🫄 e14-0-pregnant-person
🤱 e5-0-breast-feeding
👩‍🍼 e13-0-woman-feeding-baby
👨‍🍼 e13-0-man-feeding-baby
🧑‍🍼 e13-0-person-feeding-baby
👼 e0-6-baby-angel
🎅 e0-6-santa-claus
🤶 e3-0-mrs-claus
🧑‍🎄 e13-0-mx-claus
🦸 e11-0-superhero
🦹 e11-0-supervillain
🧙 e5-0-mage
🧚 e5-0-fairy
🧛 e5-0-vampire
🧜 e5-0-merperson
🧝 e5-0-elf
🧞 e5-0-genie
🧟 e5-0-zombie
🧌 e14-0-troll
💆 e0-6-person-getting-massage
💇 e0-6-person-getting-haircut
🚶 e0-6-person-walking
🧍 e12-0-person-standing
🧎 e12-0-person-kneeling
🧑‍🦯 e12-1-person-with-white-cane
👨‍🦯 e12-0-man-with-white-cane
👩‍🦯 e12-0-woman-with-white-cane
🧑‍🦼 e12-1-person-in-motorized-wheelchair
👨‍🦼 e12-0-man-in-motorized-wheelchair
👩‍🦼 e12-0-woman-in-motorized-wheelchair
🧑‍🦽 e12-1-person-in-manual-wheelchair
👨‍🦽 e12-0-man-in-manual-wheelchair
👩‍🦽 e12-0-woman-in-manual-wheelchair
🏃 e0-6-person-running
💃 e0-6-woman-dancing
🕺 e3-0-man-dancing
🕴️ e0-7-person-in-suit-levitating
🕴🏻 e4-0-person-in-suit-levitating-light-skin-tone
🕴🏼 e4-0-person-in-suit-levitating-medium-light-skin-tone
🕴🏽 e4-0-person-in-suit-levitating-medium-skin-tone
🕴🏾 e4-0-person-in-suit-levitating-medium-dark-skin-tone
🕴🏿 e4-0-person-in-suit-levitating-dark-skin-tone
👯 e0-6-people-with-bunny-ears
🧖 e5-0-person-in-steamy-room
🧗 e5-0-person-climbing
🤺 e3-0-person-fencing
🏇 e1-0-horse-racing
⛷️ e0-7-skier
🏂 e0-6-snowboarder
🏌️ e0-7-person-golfing
🏌🏻 e4-0-person-golfing-light-skin-tone
🏌🏼 e4-0-person-golfing-medium-light-skin-tone
🏌🏽 e4-0-person-golfing-medium-skin-tone
🏌🏾 e4-0-person-golfing-medium-dark-skin-tone
🏌🏿 e4-0-person-golfing-dark-skin-tone
🏌️‍♂️ e4-0-man-golfing
🏌🏻‍♂️ e4-0-man-golfing-light-skin-tone
🏌🏼‍♂️ e4-0-man-golfing-medium-light-skin-tone
🏌🏽‍♂️ e4-0-man-golfing-medium-skin-tone
🏌🏾‍♂️ e4-0-man-golfing-medium-dark-skin-tone
🏌🏿‍♂️ e4-0-man-golfing-dark-skin-tone
🏌️‍♀️ e4-0-woman-golfing
🏌🏻‍♀️ e4-0-woman-golfing-light-skin-tone
🏌🏼‍♀️ e4-0-woman-golfing-medium-light-skin-tone
🏌🏽‍♀️ e4-0-woman-golfing-medium-skin-tone
🏌🏾‍♀️ e4-0-woman-golfing-medium-dark-skin-tone
🏌🏿‍♀️ e4-0-woman-golfing-dark-skin-tone
🏄 e0-6-person-surfing
🚣 e1-0-person-rowing-boat
🏊 e0-6-person-swimming
⛹️ e0-7-person-bouncing-ball
⛹🏻 e2-0-person-bouncing-ball-light-skin-tone
⛹🏼 e2-0-person-bouncing-ball-medium-light-skin-tone
⛹🏽 e2-0-person-bouncing-ball-medium-skin-tone
⛹🏾 e2-0-person-bouncing-ball-medium-dark-skin-tone
⛹🏿 e2-0-person-bouncing-ball-dark-skin-tone
⛹️‍♂️ e4-0-man-bouncing-ball
⛹🏻‍♂️ e4-0-man-bouncing-ball-light-skin-tone
⛹🏼‍♂️ e4-0-man-bouncing-ball-medium-light-skin-tone
⛹🏽‍♂️ e4-0-man-bouncing-ball-medium-skin-tone
⛹🏾‍♂️ e4-0-man-bouncing-ball-medium-dark-skin-tone
⛹🏿‍♂️ e4-0-man-bouncing-ball-dark-skin-tone
⛹️‍♀️ e4-0-woman-bouncing-ball
⛹🏻‍♀️ e4-0-woman-bouncing-ball-light-skin-tone
