😀 e1-0-grinning-face
🍿 e1-0-popcorn
🧈 e12-0-butter
🧂 e11-0-salt
🥫 e5-0-canned-food
🍱 e0-6-bento-box
🍘 e0-6-rice-cracker
🍙 e0-6-rice-ball
🍚 e0-6-cooked-rice
🍛 e0-6-curry-rice
🍜 e0-6-steaming-bowl
🍝 e0-6-spaghetti
🍠 e0-6-roasted-sweet-potato
🍢 e0-6-oden
🍣 e0-6-sushi
🍤 e0-6-fried-shrimp
🍥 e0-6-fish-cake-with-swirl
🥮 e11-0-moon-cake
🍡 e0-6-dango
🥟 e5-0-dumpling
🥠 e5-0-fortune-cookie
🥡 e5-0-takeout-box
🦀 e1-0-crab
🦞 e11-0-lobster
🦐 e3-0-shrimp
🦑 e3-0-squid
🦪 e12-0-oyster
🍦 e0-6-soft-ice-cream
🍧 e0-6-shaved-ice
🍨 e0-6-ice-cream
🍩 e0-6-doughnut
🍪 e0-6-cookie
🎂 e0-6-birthday-cake
🍰 e0-6-shortcake
🧁 e11-0-cupcake
🥧 e5-0-pie
🍫 e0-6-chocolate-bar
🍬 e0-6-candy
🍭 e0-6-lollipop
🍮 e0-6-custard
🍯 e0-6-honey-pot
🍼 e1-0-baby-bottle
🥛 e3-0-glass-of-milk
☕ e0-6-hot-beverage
🫖 e13-0-teapot
🍵 e0-6-teacup-without-handle
🍶 e0-6-sake
🍾 e1-0-bottle-with-popping-cork
🍷 e0-6-wine-glass
🍸 e0-6-cocktail-glass
🍹 e0-6-tropical-drink
🍺 e0-6-beer-mug
🍻 e0-6-clinking-beer-mugs
🥂 e3-0-clinking-glasses
🥃 e3-0-tumbler-glass
🫗 e14-0-pouring-liquid
🥤 e5-0-cup-with-straw
🧋 e13-0-bubble-tea
🧃 e12-0-beverage-box
🧉 e12-0-mate
🧊 e12-0-ice
🥢 e5-0-chopsticks
🍽️ e0-7-fork-and-knife-with-plate
🍴 e0-6-fork-and-knife
🥄 e3-0-spoon
🔪 e0-6-kitchen-knife
🫙 e14-0-jar
🏺 e1-0-amphora
🌍 e0-7-globe-showing-europe-africa
🌎 e0-7-globe-showing-americas
🌏 e0-6-globe-showing-asia-australia
🌐 e1-0-globe-with-meridians
🗺️ e0-7-world-map
🗾 e0-6-map-of-japan
🧭 e11-0-compass
🏔️ e0-7-snow-capped-mountain
⛰️ e0-7-mountain
🌋 e0-6-volcano
🗻 e0-6-mount-fuji
🏕️ e0-7-camping
🏖️ e0-7-beach-with-umbrella
🏜️ e0-7-desert
🏝️ e0-7-desert-island
🏞️ e0-7-national-park
🏟️ e0-7-stadium
🏛️ e0-7-classical-building
🏗️ e0-7-building-construction
🧱 e11-0-brick
🪨 e13-0-rock
🪵 e13-0-wood
🛖 e13-0-hut
🏘️ e0-7-houses
🏚️ e0-7-derelict-house
🏠 e0-6-house
🏡 e0-6-house-with-garden
🏢 e0-6-office-building
🏣 e0-6-japanese-post-office
🏤 e1-0-post-office
🏥 e0-6-hospital
🏦 e0-6-bank
🏨 e0-6-hotel
🏩 e0-6-love-hotel
🏪 e0-6-convenience-store
🏫 e0-6-school
🏬 e0-6-department-store
🏭 e0-6-factory
🏯 e0-6-japanese-castle
🏰 e0-6-castle
💒 e0-6-wedding
🗼 e0-6-tokyo-tower
🗽 e0-6-statue-of-liberty
⛪ e0-6-church
🕌 e1-0-mosque
🛕 e12-0-hindu-temple
🕍 e1-0-synagogue
⛩️ e0-7-shinto-shrine
🕋 e1-0-kaaba
⛲ e0-6-fountain
⛺ e0-6-tent
🌁 e0-6-foggy
🌃 e0-6-night-with-stars
🏙️ e0-7-cityscape
🌄 e0-6-sunrise-over-mountains
🌅 e0-6-sunrise
🌆 e0-6-cityscape-at-dusk
🌇 e0-6-sunset
🌉 e0-6-bridge-at-night
♨️ e0-6-hot-springs
🎠 e0-6-carousel-horse
🛝 e14-0-playground-slide
🎡 e0-6-ferris-wheel
🎢 e0-6-roller-coaster
💈 e0-6-barber-pole
🎪 e0-6-circus-tent
🚂 e1-0-locomotive
🚃 e0-6-railway-car
🚄 e0-6-high-speed-train
🚅 e0-6-bullet-train
🚆 e1-0-train
🚇 e0-6-metro
🚈 e1-0-light-rail
🚉 e0-6-station
🚊 e1-0-tram
🚝 e1-0-monorail
🚞 e1-0-mountain-railway
🚋 e1-0-tram-car
🚌 e0-6-bus
🚍 e0-7-oncoming-bus
🚎 e1-0-trolleybus
🚐 e1-0-minibus
🚑 e0-6-ambulance
🚒 e0-6-fire-engine
🚓 e0-6-police-car
🚔 e0-7-oncoming-police-car
🚕 e0-6-taxi
🚖 e1-0-oncoming-taxi
🚗 e0-6-automobile
🚘 e0-7-oncoming-automobile
🚙 e0-6-sport-utility-vehicle
🛻 e13-0-pickup-truck
🚚 e0-6-delivery-truck
🚛 e1-0-articulated-lorry
🚜 e1-0-tractor
🏎️ e0-7-racing-car
🏍️ e0-7-motorcycle
🛵 e3-0-motor-scooter
🦽 e12-0-manual-wheelchair
🦼 e12-0-motorized-wheelchair
🛺 e12-0-auto-rickshaw
🚲 e0-6-bicycle
🛴 e3-0-kick-scooter
🛹 e11-0-skateboard
🛼 e13-0-roller-skate
🚏 e0-6-bus-stop
🛣️ e0-7-motorway
🛤️ e0-7-railway-track
🛢️ e0-7-oil-drum
⛽ e0-6-fuel-pump
🛞 e14-0-wheel
🚨 e0-6-police-car-light
🚥 e0-6-horizontal-traffic-light
🚦 e1-0-vertical-traffic-light
🛑 e3-0-stop-sign
🚧 e0-6-construction
⚓ e0-6-anchor
🛟 e14-0-ring-buoy
⛵ e0-6-sailboat
🛶 e3-0-canoe
🚤 e0-6-speedboat
🛳️ e0-7-passenger-ship
⛴️ e0-7-ferry
🛥️ e0-7-motor-boat
🚢 e0-6-ship
✈️ e0-6-airplane
🛩️ e0-7-small-airplane
🛫 e1-0-airplane-departure
🛬 e1-0-airplane-arrival
🪂 e12-0-parachute
💺 e0-6-seat
🚁 e1-0-helicopter
🚟 e1-0-suspension-railway
🚠 e1-0-mountain-cableway
🚡 e1-0-aerial-tramway
🛰️ e0-7-satellite
🚀 e0-6-rocket
🛸 e5-0-flying-saucer
🛎️ e0-7-bellhop-bell
🧳 e11-0-luggage
⌛ e0-6-hourglass-done
⏳ e0-6-hourglass-not-done
⌚ e0-6-watch
⏰ e0-6-alarm-clock
⏱️ e1-0-stopwatch
⏲️ e1-0-timer-clock
🕰️ e0-7-mantelpiece-clock
🕛 e0-6-twelve-o-clock
🕧 e0-7-twelve-thirty
🕐 e0-6-one-o-clock
🕜 e0-7-one-thirty
🕑 e0-6-two-o-clock
🕝 e0-7-two-thirty
🕒 e0-6-three-o-clock
🕞 e0-7-three-thirty
🕓 e0-6-four-o-clock
🕟 e0-7-four-thirty
🕔 e0-6-five-o-clock
🕠 e0-7-five-thirty
🕕 e0-6-six-o-clock
🕡 e0-7-six-thirty
🕖 e0-6-seven-o-clock
🕢 e0-7-seven-thirty
🕗 e0-6-eight-o-clock
🕣 e0-7-eight-thirty
🕘 e0-6-nine-o-clock
🕤 e0-7-nine-thirty
🕙 e0-6-ten-o-clock
🕥 e0-7-ten-thirty
🕚 e0-6-eleven-o-clock
🕦 e0-7-eleven-thirty
🌑 e0-6-new-moon
🌒 e1-0-waxing-crescent-moon
🌓 e0-6-first-quarter-moon
🌔 e0-6-waxing-gibbous-moon
🌕 e0-6-full-moon
🌖 e1-0-waning-gibbous-moon
🌗 e1-0-last-quarter-moon
🌘 e1-0-waning-crescent-moon
🌙 e0-6-crescent-moon
🌚 e1-0-new-moon-face
🌛 e0-6-first-quarter-moon-face
🌜 e0-7-last-quarter-moon-face
🌡️ e0-7-thermometer
☀️ e0-6-sun
🌝 e1-0-full-moon-face
🌞 e1-0-sun-with-face
🪐 e12-0-ringed-planet
⭐ e0-6-star
🌟 e0-6-glowing-star
🌠 e0-6-shooting-star
🌌 e0-6-milky-way
☁️ e0-6-cloud
⛅ e0-6-sun-behind-cloud
⛈️ e0-7-cloud-with-lightning-and-rain
🌤️ e0-7-sun-behind-small-cloud
🌥️ e0-7-sun-behind-large-cloud
🌦️ e0-7-sun-behind-rain-cloud
🌧️ e0-7-cloud-with-rain
🌨️ e0-7-cloud-with-snow
🌩️ e0-7-cloud-with-lightning
🌪️ e0-7-tornado
🌫️ e0-7-fog
🌬️ e0-7-wind-face
🌀 e0-6-cyclone
🌈 e0-6-rainbow
🌂 e0-6-closed-umbrella
☂️ e0-7-umbrella
☔ e0-6-umbrella-with-rain-drops
⛱️ e0-7-umbrella-on-ground
⚡ e0-6-high-voltage
❄️ e0-6-snowflake
☃️ e0-7-snowman
⛄ e0-6-snowman-without-snow
☄️ e1-0-comet
🔥 e0-6-fire
💧 e0-6-droplet
🌊 e0-6-water-wave
🎃 e0-6-jack-o-lantern
🎄 e0-6-christmas-tree
🎆 e0-6-fireworks
🎇 e0-6-sparkler
🧨 e11-0-firecracker
✨ e0-6-sparkles
🎈 e0-6-balloon
🎉 e0-6-party-popper
🎊 e0-6-confetti-ball
🎋 e0-6-tanabata-tree
🎍 e0-6-pine-decoration
🎎 e0-6-japanese-dolls
🎏 e0-6-carp-streamer
🎐 e0-6-wind-chime
🎑 e0-6-moon-viewing-ceremony
🧧 e11-0-red-envelope
🎀 e0-6-ribbon
🎁 e0-6-wrapped-gift
🎗️ e0-7-reminder-ribbon
🎟️ e0-7-admission-tickets
🎫 e0-6-ticket
🎖️ e0-7-military-medal
🏆 e0-6-trophy
🏅 e1-0-sports-medal
🥇 e3-0-1st-place-medal
🥈 e3-0-2nd-place-medal
🥉 e3-0-3rd-place-medal
⚽ e0-6-soccer-ball
⚾ e0-6-baseball
🥎 e11-0-softball
🏀 e0-6-basketball
🏐 e1-0-volleyball
🏈 e0-6-american-football
🏉 e1-0-rugby-football
🎾 e0-6-tennis
🥏 e11-0-flying-disc
🎳 e0-6-bowling
🏏 e1-0-cricket-game
🏑 e1-0-field-hockey
🏒 e1-0-ice-hockey
🥍 e11-0-lacrosse
🏓 e1-0-ping-pong
🏸 e1-0-badminton
🥊 e3-0-boxing-glove
🥋 e3-0-martial-arts-uniform
🥅 e3-0-goal-net
⛳ e0-6-flag-in-hole
⛸️ e0-7-ice-skate
🎣 e0-6-fishing-pole
🤿 e12-0-diving-mask
🎽 e0-6-running-shirt
🎿 e0-6-skis
🛷 e5-0-sled
🥌 e5-0-curling-stone
🎯 e0-6-bullseye
🪀 e12-0-yo-yo
🪁 e12-0-kite
🔫 e0-6-water-pistol
🎱 e0-6-pool-8-ball
🔮 e0-6-crystal-ball
🪄 e13-0-magic-wand
🎮 e0-6-video-game
🕹️ e0-7-joystick
🎰 e0-6-slot-machine
🎲 e0-6-game-die
🧩 e11-0-puzzle-piece
🧸 e11-0-teddy-bear
🪅 e13-0-pinata
🪩 e14-0-mirror-ball
🪆 e13-0-nesting-dolls
♠️ e0-6-spade-suit
♥️ e0-6-heart-suit
♦️ e0-6-diamond-suit
♣️ e0-6-club-suit
♟️ e11-0-chess-pawn
🃏 e0-6-joker
🀄 e0-6-mahjong-red-dragon
🎴 e0-6-flower-playing-cards
🎭 e0-6-performing-arts
🖼️ e0-7-framed-picture
🎨 e0-6-artist-palette
🧵 e11-0-thread
🪡 e13-0-sewing-needle
🧶 e11-0-yarn
🪢 e13-0-knot
👓 e0-6-glasses
🕶️ e0-7-sunglasses
🥽 e11-0-goggles
🥼 e11-0-lab-coat
🦺 e12-0-safety-vest
👔 e0-6-necktie
👕 e0-6-t-shirt
👖 e0-6-jeans
🧣 e5-0-scarf
🧤 e5-0-gloves
🧥 e5-0-coat
🧦 e5-0-socks
👗 e0-6-dress
👘 e0-6-kimono
🥻 e12-0-sari
🩱 e12-0-one-piece-swimsuit
🩲 e12-0-briefs
🩳 e12-0-shorts
👙 e0-6-bikini
👚 e0-6-woman-s-clothes
🪭 e15-0-folding-hand-fan
👛 e0-6-purse
👜 e0-6-handbag
👝 e0-6-clutch-bag
🛍️ e0-7-shopping-bags
🎒 e0-6-backpack
🩴 e13-0-thong-sandal
👞 e0-6-man-s-shoe
👟 e0-6-running-shoe
🥾 e11-0-hiking-boot
🥿 e11-0-flat-shoe
👠 e0-6-high-heeled-shoe
👡 e0-6-woman-s-sandal
🩰 e12-0-ballet-shoes
👢 e0-6-woman-s-boot
🪮 e15-0-hair-pick
👑 e0-6-crown
👒 e0-6-woman-s-hat
🎩 e0-6-top-hat
🎓 e0-6-graduation-cap
🧢 e5-0-billed-cap
🪖 e13-0-military-helmet
⛑️ e0-7-rescue-worker-s-helmet
📿 e1-0-prayer-beads
💄 e0-6-lipstick
💍 e0-6-ring
💎 e0-6-gem-stone
🔇 e1-0-muted-speaker
🔈 e0-7-speaker-low-volume
🔉 e1-0-speaker-medium-volume
🔊 e0-6-speaker-high-volume
📢 e0-6-loudspeaker
📣 e0-6-megaphone
📯 e1-0-postal-horn
🔔 e0-6-bell
🔕 e1-0-bell-with-slash
🎼 e0-6-musical-score
🎵 e0-6-musical-note
🎶 e0-6-musical-notes
🎙️ e0-7-studio-microphone
🎚️ e0-7-level-slider
🎛️ e0-7-control-knobs
🎤 e0-6-microphone
🎧 e0-6-headphone
📻 e0-6-radio
🎷 e0-6-saxophone
🪗 e13-0-accordion
🎸 e0-6-guitar
🎹 e0-6-musical-keyboard
🎺 e0-6-trumpet
🎻 e0-6-violin
🪕 e12-0-banjo
🥁 e3-0-drum
🪘 e13-0-long-drum
🪇 e15-0-maracas
🪈 e15-0-flute
📱 e0-6-mobile-phone
📲 e0-6-mobile-phone-with-arrow
☎️ e0-6-telephone
📞 e0-6-telephone-receiver
📟 e0-6-pager
📠 e0-6-fax-machine
🔋 e0-6-battery
🪫 e14-0-low-battery
🔌 e0-6-electric-plug
💻 e0-6-laptop
🖥️ e0-7-desktop-computer
🖨️ e0-7-printer
⌨️ e1-0-keyboard
🖱️ e0-7-computer-mouse
🖲️ e0-7-trackball
💽 e0-6-computer-disk
💾 e0-6-floppy-disk
💿 e0-6-optical-disk
📀 e0-6-dvd
🧮 e11-0-abacus
🎥 e0-6-movie-camera
🎞️ e0-7-film-frames
📽️ e0-7-film-projector
🎬 e0-6-clapper-board
📺 e0-6-television
📷 e0-6-camera
📸 e1-0-camera-with-flash
📹 e0-6-video-camera
📼 e0-6-videocassette
🔍 e0-6-magnifying-glass-tilted-left
🔎 e0-6-magnifying-glass-tilted-right
🕯️ e0-7-candle
💡 e0-6-light-bulb
🔦 e0-6-flashlight
🏮 e0-6-red-paper-lantern
🪔 e12-0-diya-lamp
📔 e0-6-notebook-with-decorative-cover
📕 e0-6-closed-book
📖 e0-6-open-book
📗 e0-6-green-book
📘 e0-6-blue-book
📙 e0-6-orange-book
📚 e0-6-books
📓 e0-6-notebook
📒 e0-6-ledger
📃 e0-6-page-with-curl
📜 e0-6-scroll
📄 e0-6-page-facing-up
📰 e0-6-newspaper
🗞️ e0-7-rolled-up-newspaper
📑 e0-6-bookmark-tabs
🔖 e0-6-bookmark
🏷️ e0-7-label
💰 e0-6-money-bag
🪙 e13-0-coin
💴 e0-6-yen-banknote
💵 e0-6-dollar-banknote
💶 e1-0-euro-banknote
💷 e1-0-pound-banknote
💸 e0-6-money-with-wings
💳 e0-6-credit-card
🧾 e11-0-receipt
💹 e0-6-chart-increasing-with-yen
✉️ e0-6-envelope
📧 e0-6-e-mail
📨 e0-6-incoming-envelope
📩 e0-6-envelope-with-arrow
📤 e0-6-outbox-tray
📥 e0-6-inbox-tray
📦 e0-6-package
📫 e0-6-closed-mailbox-with-raised-flag
📪 e0-6-closed-mailbox-with-lowered-flag
📬 e0-7-open-mailbox-with-raised-flag
📭 e0-7-open-mailbox-with-lowered-flag
📮 e0-6-postbox
🗳️ e0-7-ballot-box-with-ballot
✏️ e0-6-pencil
✒️ e0-6-black-nib
🖋️ e0-7-fountain-pen
🖊️ e0-7-pen
🖌️ e0-7-paintbrush
🖍️ e0-7-crayon
📝 e0-6-memo
💼 e0-6-briefcase
📁 e0-6-file-folder
📂 e0-6-open-file-folder
🗂️ e0-7-card-index-dividers
📅 e0-6-calendar
📆 e0-6-tear-off-calendar
🗒️ e0-7-spiral-notepad
🗓️ e0-7-spiral-calendar
📇 e0-6-card-index
📈 e0-6-chart-increasing
📉 e0-6-chart-decreasing
📊 e0-6-bar-chart
📋 e0-6-clipboard
📌 e0-6-pushpin
📍 e0-6-round-pushpin
📎 e0-6-paperclip
🖇️ e0-7-linked-paperclips
📏 e0-6-straight-ruler
📐 e0-6-triangular-ruler
✂️ e0-6-scissors
🗃️ e0-7-card-file-box
🗄️ e0-7-file-cabinet
🗑️ e0-7-wastebasket
🔒 e0-6-locked
🔓 e0-6-unlocked
🔏 e0-6-locked-with-pen
🔐 e0-6-locked-with-key
🔑 e0-6-key
🗝️ e0-7-old-key
🔨 e0-6-hammer
🪓 e12-0-axe
⛏️ e0-7-pick
⚒️ e1-0-hammer-and-pick
🛠️ e0-7-hammer-and-wrench
🗡️ e0-7-dagger
⚔️ e1-0-crossed-swords
💣 e0-6-bomb
🪃 e13-0-boomerang
🏹 e1-0-bow-and-arrow
🛡️ e0-7-shield
🪚 e13-0-carpentry-saw
🔧 e0-6-wrench
🪛 e13-0-screwdriver
🔩 e0-6-nut-and-bolt
⚙️ e1-0-gear
🗜️ e0-7-clamp
⚖️ e1-0-balance-scale
🦯 e12-0-white-cane
🔗 e0-6-link
⛓️ e0-7-chains
🪝 e13-0-hook
🧰 e11-0-toolbox
🧲 e11-0-magnet
🪜 e13-0-ladder
⚗️ e1-0-alembic
🧪 e11-0-test-tube
🧫 e11-0-petri-dish
🧬 e11-0-dna
🔬 e1-0-microscope
🔭 e1-0-telescope
📡 e0-6-satellite-antenna
💉 e0-6-syringe
🩸 e12-0-drop-of-blood
💊 e0-6-pill
🩹 e12-0-adhesive-bandage
🩼 e14-0-crutch
🩺 e12-0-stethoscope
🩻 e14-0-x-ray
🚪 e0-6-door
🛗 e13-0-elevator
🪞 e13-0-mirror
🪟 e13-0-window
🛏️ e0-7-bed
🛋️ e0-7-couch-and-lamp
🪑 e12-0-chair
🚽 e0-6-toilet
🪠 e13-0-plunger
🚿 e1-0-shower
🛁 e1-0-bathtub
🪤 e13-0-mouse-trap
🪒 e12-0-razor
🧴 e11-0-lotion-bottle
🧷 e11-0-safety-pin
🧹 e11-0-broom
🧺 e11-0-basket
🧻 e11-0-roll-of-paper
🪣 e13-0-bucket
🧼 e11-0-soap
🫧 e14-0-bubbles
🪥 e13-0-toothbrush
🧽 e11-0-sponge
🧯 e11-0-fire-extinguisher
🛒 e3-0-shopping-cart
🚬 e0-6-cigarette
⚰️ e1-0-coffin
🪦 e13-0-headstone
⚱️ e1-0-funeral-urn
🧿 e11-0-nazar-amulet
🪬 e14-0-hamsa
🗿 e0-6-moai
🪧 e13-0-placard
🪪 e14-0-identification-card
🏧 e0-6-atm-sign
🚮 e1-0-litter-in-bin-sign
🚰 e1-0-potable-water
♿ e0-6-wheelchair-symbol
🚹 e0-6-men-s-room
🚺 e0-6-women-s-room
🚻 e0-6-restroom
🚼 e0-6-baby-symbol
🚾 e0-6-water-closet
🛂 e1-0-passport-control
🛃 e1-0-customs
🛄 e1-0-baggage-claim
🛅 e1-0-left-luggage
⚠️ e0-6-warning
🚸 e1-0-children-crossing
⛔ e0-6-no-entry
🚫 e0-6-prohibited
🚳 e1-0-no-bicycles
🚭 e0-6-no-smoking
🚯 e1-0-no-littering
🚱 e1-0-non-potable-water
🚷 e1-0-no-pedestrians
📵 e1-0-no-mobile-phones
🔞 e0-6-no-one-under-eighteen
☢️ e1-0-radioactive
☣️ e1-0-biohazard
⬆️ e0-6-up-arrow
↗️ e0-6-up-right-arrow
➡️ e0-6-right-arrow
↘️ e0-6-down-right-arrow
⬇️ e0-6-down-arrow
↙️ e0-6-down-left-arrow
⬅️ e0-6-left-arrow
↖️ e0-6-up-left-arrow
↕️ e0-6-up-down-arrow
↔️ e0-6-left-right-arrow
↩️ e0-6-right-arrow-curving-left
↪️ e0-6-left-arrow-curving-right
⤴️ e0-6-right-arrow-curving-up
⤵️ e0-6-right-arrow-curving-down
🔃 e0-6-clockwise-vertical-arrows
🔄 e1-0-counterclockwise-arrows-button
🔙 e0-6-back-arrow
🔚 e0-6-end-arrow
🔛 e0-6-on-arrow
🔜 e0-6-soon-arrow
🔝 e0-6-top-arrow
🛐 e1-0-place-of-worship
⚛️ e1-0-atom-symbol
🕉️ e0-7-om
✡️ e0-7-star-of-david
☸️ e0-7-wheel-of-dharma
☯️ e0-7-yin-yang
✝️ e0-7-latin-cross
☦️ e1-0-orthodox-cross
☪️ e0-7-star-and-crescent
☮️ e1-0-peace-symbol
🕎 e1-0-menorah
🔯 e0-6-dotted-six-pointed-star
🪯 e15-0-khanda
♈ e0-6-aries
♉ e0-6-taurus
♊ e0-6-gemini
♋ e0-6-cancer
♌ e0-6-leo
♍ e0-6-virgo
♎ e0-6-libra
♏ e0-6-scorpio
♐ e0-6-sagittarius
♑ e0-6-capricorn
♒ e0-6-aquarius
♓ e0-6-pisces
⛎ e0-6-ophiuchus
🔀 e1-0-shuffle-tracks-button
🔁 e1-0-repeat-button
🔂 e1-0-repeat-single-button
▶️ e0-6-play-button
⏩ e0-6-fast-forward-button
⏭️ e0-7-next-track-button
⏯️ e1-0-play-or-pause-button
◀️ e0-6-reverse-button
⏪ e0-6-fast-reverse-button
⏮️ e0-7-last-track-button
🔼 e0-6-upwards-button
⏫ e0-6-fast-up-button
🔽 e0-6-downwards-button
⏬ e0-6-fast-down-button
⏸️ e0-7-pause-button
⏹️ e0-7-stop-button
⏺️ e0-7-record-button
⏏️ e1-0-eject-button
🎦 e0-6-cinema
🔅 e1-0-dim-button
🔆 e1-0-bright-button
📶 e0-6-antenna-bars
🛜 e15-0-wireless
📳 e0-6-vibration-mode
📴 e0-6-mobile-phone-off
♀️ e4-0-female-sign
♂️ e4-0-male-sign
⚧️ e13-0-transgender-symbol
✖️ e0-6-multiply
➕ e0-6-plus
➖ e0-6-minus
➗ e0-6-divide
🟰 e14-0-heavy-equals-sign
♾️ e11-0-infinity
‼️ e0-6-double-exclamation-mark
⁉️ e0-6-exclamation-question-mark
❓ e0-6-red-question-mark
❔ e0-6-white-question-mark
❕ e0-6-white-exclamation-mark
❗ e0-6-red-exclamation-mark
〰️ e0-6-wavy-dash
💱 e0-6-currency-exchange
💲 e0-6-heavy-dollar-sign
⚕️ e4-0-medical-symbol
♻️ e0-6-recycling-symbol
⚜️ e1-0-fleur-de-lis
🔱 e0-6-trident-emblem
📛 e0-6-name-badge
🔰 e0-6-japanese-symbol-for-beginner
⭕ e0-6-hollow-red-circle
✅ e0-6-check-mark-button
☑️ e0-6-check-box-with-check
✔️ e0-6-check-mark
❌ e0-6-cross-mark
❎ e0-6-cross-mark-button
➰ e0-6-curly-loop
➿ e1-0-double-curly-loop
〽️ e0-6-part-alternation-mark
✳️ e0-6-eight-spoked-asterisk
✴️ e0-6-eight-pointed-star
❇️ e0-6-sparkle
©️ e0-6-copyright
®️ e0-6-registered
™️ e0-6-trade-mark
#️⃣ e0-6-keycap
*️⃣ e2-0-keycap
0️⃣ e0-6-keycap-0
1️⃣ e0-6-keycap-1
2️⃣ e0-6-keycap-2
3️⃣ e0-6-keycap-3
4️⃣ e0-6-keycap-4
5️⃣ e0-6-keycap-5
6️⃣ e0-6-keycap-6
7️⃣ e0-6-keycap-7
8️⃣ e0-6-keycap-8
9️⃣ e0-6-keycap-9
🔟 e0-6-keycap-10
🔠 e0-6-input-latin-uppercase
🔡 e0-6-input-latin-lowercase
🔢 e0-6-input-numbers
🔣 e0-6-input-symbols
🔤 e0-6-input-latin-letters
🅰️ e0-6-a-button-blood-type
🆎 e0-6-ab-button-blood-type
🅱️ e0-6-b-button-blood-type
🆑 e0-6-cl-button
🆒 e0-6-cool-button
🆓 e0-6-free-button
ℹ️ e0-6-information
🆔 e0-6-id-button
Ⓜ️ e0-6-circled-m
🆕 e0-6-new-button
🆖 e0-6-ng-button
🅾️ e0-6-o-button-blood-type
🆗 e0-6-ok-button
🅿️ e0-6-p-button
🆘 e0-6-sos-button
🆙 e0-6-up-button
🆚 e0-6-vs-button
🈁 e0-6-japanese-here-button
🈂️ e0-6-japanese-service-charge-button
🈷️ e0-6-japanese-monthly-amount-button
🈶 e0-6-japanese-not-free-of-charge-button
🈯 e0-6-japanese-reserved-button
🉐 e0-6-japanese-bargain-button
🈹 e0-6-japanese-discount-button
🈚 e0-6-japanese-free-of-charge-button
🈲 e0-6-japanese-prohibited-button
🉑 e0-6-japanese-acceptable-button
🈸 e0-6-japanese-application-button
🈴 e0-6-japanese-passing-grade-button
🈳 e0-6-japanese-vacancy-button
㊗️ e0-6-japanese-congratulations-button
㊙️ e0-6-japanese-secret-button
🈺 e0-6-japanese-open-for-business-button
🈵 e0-6-japanese-no-vacancy-button
🔴 e0-6-red-circle
🟠 e12-0-orange-circle
🟡 e12-0-yellow-circle
🟢 e12-0-green-circle
🔵 e0-6-blue-circle
🟣 e12-0-purple-circle
🟤 e12-0-brown-circle
⚫ e0-6-black-circle
⚪ e0-6-white-circle
🟥 e12-0-red-square
🟧 e12-0-orange-square
🟨 e12-0-yellow-square
🟩 e12-0-green-square
🟦 e12-0-blue-square
🟪 e12-0-purple-square
🟫 e12-0-brown-square
⬛ e0-6-black-large-square
⬜ e0-6-white-large-square
◼️ e0-6-black-medium-square
◻️ e0-6-white-medium-square
◾ e0-6-black-medium-small-square
◽ e0-6-white-medium-small-square
▪️ e0-6-black-small-square
▫️ e0-6-white-small-square
🔶 e0-6-large-orange-diamond
🔷 e0-6-large-blue-diamond
🔸 e0-6-small-orange-diamond
🔹 e0-6-small-blue-diamond
🔺 e0-6-red-triangle-pointed-up
🔻 e0-6-red-triangle-pointed-down
💠 e0-6-diamond-with-a-dot
🔘 e0-6-radio-button
🔳 e0-6-white-square-button
🔲 e0-6-black-square-button
🏁 e0-6-chequered-flag
🚩 e0-6-triangular-flag
🎌 e0-6-crossed-flags
🏴 e1-0-black-flag
🏳️ e0-7-white-flag
🏳️‍🌈 e4-0-rainbow-flag
🏳️‍⚧️ e13-0-transgender-flag
🏴‍☠️ e11-0-pirate-flag
🇦🇨 e2-0-flag-ascension-island
🇦🇩 e2-0-flag-andorra
🇦🇪 e2-0-flag-united-arab-emirates
🇦🇫 e2-0-flag-afghanistan
🇦🇬 e2-0-flag-antigua-barbuda
🇦🇮 e2-0-flag-anguilla
🇦🇱 e2-0-flag-albania
🇦🇲 e2-0-flag-armenia
🇦🇴 e2-0-flag-angola
🇦🇶 e2-0-flag-antarctica
🇦🇷 e2-0-flag-argentina
🇦🇸 e2-0-flag-american-samoa
🇦🇹 e2-0-flag-austria
🇦🇺 e2-0-flag-australia
🇦🇼 e2-0-flag-aruba
🇦🇽 e2-0-flag-aland-islands
🇦🇿 e2-0-flag-azerbaijan
🇧🇦 e2-0-flag-bosnia-herzegovina
🇧🇧 e2-0-flag-barbados
🇧🇩 e2-0-flag-bangladesh
🇧🇪 e2-0-flag-belgium
🇧🇫 e2-0-flag-burkina-faso
🇧🇬 e2-0-flag-bulgaria
🇧🇭 e2-0-flag-bahrain
🇧🇮 e2-0-flag-burundi
🇧🇯 e2-0-flag-benin
🇧🇱 e2-0-flag-st-barthelemy
🇧🇲 e2-0-flag-bermuda
🇧🇳 e2-0-flag-brunei
🇧🇴 e2-0-flag-bolivia
🇧🇶 e2-0-flag-caribbean-netherlands
🇧🇷 e2-0-flag-brazil
🇧🇸 e2-0-flag-bahamas
🇧🇹 e2-0-flag-bhutan
🇧🇻 e2-0-flag-bouvet-island
🇧🇼 e2-0-flag-botswana
🇧🇾 e2-0-flag-belarus
🇧🇿 e2-0-flag-belize
🇨🇦 e2-0-flag-canada
🇨🇨 e2-0-flag-cocos-keeling-islands
